fulltextfile,date
fulltexts/1915/swinba_636776093_1915_06_16_00000003.xml,1915-06-24
fulltexts/1915/swinba_636776093_1915_06_16_00000004.xml,1915-06-24
fulltexts/1915/swinba_636776093_1915_06_21_00000001.xml,1915-06-28
fulltexts/1915/swinba_636776093_1915_06_21_00000002.xml,1915-06-28
fulltexts/1915/swinba_636776093_1915_06_21_00000003.xml,1915-06-28
fulltexts/1915/swinba_636776093_1915_06_21_00000004.xml,1915-06-28
fulltexts/1915/swinba_636776093_1915_06_24_00000001.xml,1915-07-02
fulltexts/1915/swinba_636776093_1915_06_24_00000002.xml,1915-07-02
fulltexts/1915/swinba_636776093_1915_06_24_00000003.xml,1915-07-02
fulltexts/1915/swinba_636776093_1915_06_24_00000004.xml,1915-07-02
fulltexts/1915/swinba_636776093_1915_06_24_00000005.xml,1915-07-02
fulltexts/1915/swinba_636776093_1915_06_24_00000006.xml,1915-07-02
fulltexts/1915/swinba_636776093_1915_06_28_00000001.xml,1915-07-08
fulltexts/1915/swinba_636776093_1915_06_28_00000002.xml,1915-07-08
fulltexts/1915/swinba_636776093_1915_07_02_00000001.xml,1915-07-10
fulltexts/1915/swinba_636776093_1915_07_02_00000002.xml,1915-07-10
fulltexts/1915/swinba_636776093_1915_07_02_00000003.xml,1915-07-10
fulltexts/1915/swinba_636776093_1915_07_02_00000004.xml,1915-07-10
fulltexts/1915/swinba_636776093_1915_07_08_00000001.xml,1915-07-14
fulltexts/1915/swinba_636776093_1915_07_08_00000002.xml,1915-07-14
fulltexts/1915/swinba_636776093_1915_07_08_00000003.xml,1915-07-14
fulltexts/1915/swinba_636776093_1915_07_08_00000004.xml,1915-07-14
fulltexts/1915/swinba_636776093_1915_07_10_00000001.xml,1915-07-16
fulltexts/1915/swinba_636776093_1915_07_10_00000002.xml,1915-07-16
fulltexts/1915/swinba_636776093_1915_07_10_00000003.xml,1915-07-16
fulltexts/1915/swinba_636776093_1915_07_10_00000004.xml,1915-07-16
fulltexts/1915/swinba_636776093_1915_07_14_00000001.xml,1915-07-19
fulltexts/1915/swinba_636776093_1915_07_14_00000002.xml,1915-07-19
fulltexts/1915/swinba_636776093_1915_07_14_00000003.xml,1915-07-19
fulltexts/1915/swinba_636776093_1915_07_14_00000004.xml,1915-07-19
fulltexts/1915/swinba_636776093_1915_07_16_00000001.xml,1915-07-21
fulltexts/1915/swinba_636776093_1915_07_16_00000002.xml,1915-07-21
fulltexts/1915/swinba_636776093_1915_07_16_00000003.xml,1915-07-21
fulltexts/1915/swinba_636776093_1915_07_16_00000004.xml,1915-07-21
fulltexts/1915/swinba_636776093_1915_07_19_00000001.xml,1915-07-23
fulltexts/1915/swinba_636776093_1915_07_19_00000002.xml,1915-07-23
fulltexts/1915/swinba_636776093_1915_07_21_00000001.xml,1915-07-27
fulltexts/1915/swinba_636776093_1915_07_21_00000002.xml,1915-07-27
fulltexts/1915/swinba_636776093_1915_07_21_00000003.xml,1915-07-27
fulltexts/1915/swinba_636776093_1915_07_21_00000004.xml,1915-07-27
fulltexts/1915/swinba_636776093_1915_07_23_00000001.xml,1915-07-29
fulltexts/1915/swinba_636776093_1915_07_23_00000002.xml,1915-07-29
fulltexts/1915/swinba_636776093_1915_07_23_00000003.xml,1915-07-29
fulltexts/1915/swinba_636776093_1915_07_23_00000004.xml,1915-07-29
fulltexts/1915/swinba_636776093_1915_07_27_00000001.xml,1915-07-31
fulltexts/1915/swinba_636776093_1915_07_27_00000002.xml,1915-07-31
fulltexts/1915/swinba_636776093_1915_07_27_00000003.xml,1915-07-31
fulltexts/1915/swinba_636776093_1915_07_27_00000004.xml,1915-07-31
fulltexts/1915/swinba_636776093_1915_07_29_00000001.xml,1915-08-04
fulltexts/1915/swinba_636776093_1915_07_29_00000002.xml,1915-08-04
fulltexts/1915/swinba_636776093_1915_07_29_00000003.xml,1915-08-04
fulltexts/1915/swinba_636776093_1915_07_29_00000004.xml,1915-08-04
fulltexts/1915/swinba_636776093_1915_07_31_00000001.xml,1915-08-06
fulltexts/1915/swinba_636776093_1915_07_31_00000002.xml,1915-08-06
fulltexts/1915/swinba_636776093_1915_07_31_00000003.xml,1915-08-06
fulltexts/1915/swinba_636776093_1915_07_31_00000004.xml,1915-08-06
fulltexts/1915/swinba_636776093_1915_08_04_00000001.xml,1915-08-10
fulltexts/1915/swinba_636776093_1915_08_04_00000002.xml,1915-08-10
fulltexts/1915/swinba_636776093_1915_08_04_00000003.xml,1915-08-10
fulltexts/1915/swinba_636776093_1915_08_04_00000004.xml,1915-08-10
fulltexts/1915/swinba_636776093_1915_08_06_00000001.xml,1915-08-14
fulltexts/1915/swinba_636776093_1915_08_06_00000002.xml,1915-08-14
fulltexts/1915/swinba_636776093_1915_08_06_00000003.xml,1915-08-14
fulltexts/1915/swinba_636776093_1915_08_06_00000004.xml,1915-08-14
fulltexts/1915/swinba_636776093_1915_08_06_00000005.xml,1915-08-14
fulltexts/1915/swinba_636776093_1915_08_06_00000006.xml,1915-08-14
fulltexts/1915/swinba_636776093_1915_08_10_00000001.xml,1915-08-18
fulltexts/1915/swinba_636776093_1915_08_10_00000002.xml,1915-08-18
fulltexts/1915/swinba_636776093_1915_08_10_00000003.xml,1915-08-18
fulltexts/1915/swinba_636776093_1915_08_10_00000004.xml,1915-08-18
