"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_P1D_T2M_X",1757,1920-11-05,2.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-11-06,4.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-11-07,7.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-11-08,6.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-11-09,9.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-11-10,10.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-11-11,9.8,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-11-12,6.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-11-13,4.5,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-11-14,7.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-11-15,13,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-11-16,13.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-11-17,8.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-11-18,6.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-11-19,3.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-11-20,1.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-11-21,0.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-11-22,3.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-11-23,3.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-11-24,3.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-11-25,1.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-11-26,-1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-11-27,-1.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-11-28,-1.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-11-29,-0.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-11-30,0.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-12-01,1.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-12-02,1.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-12-03,0.8,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-12-04,1.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-12-05,2.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-12-06,3.5,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-12-07,1.9,0,1
